Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_05_5421_201005023324part1.wav,63.587412562,64.080022373,A
SanctSound_GR03_05_5421_201005023324part1.wav,108.022370216,108.457779888,A
SanctSound_GR03_05_5421_201005023324part1.wav,70.203986104,70.49717921,A
SanctSound_GR03_05_5421_201005023324part1.wav,111.418634926,111.984078774,A
SanctSound_GR03_05_5421_201005023324part1.wav,112.245858333,112.832244546,A
SanctSound_GR03_05_5421_201005023324part1.wav,121.706590358,122.125437653,A
SanctSound_GR03_05_5421_201005023324part1.wav,205.971048124,206.410837784,A
SanctSound_GR03_05_5421_201005023324part1.wav,264.180464398,264.902975982,A
SanctSound_GR03_05_5421_201005023324part1.wav,422.594097469,423.285195506,A
SanctSound_GR03_05_5421_201005023324part1.wav,428.609810493,429.028657788,A
SanctSound_GR03_05_5421_201005023324part1.wav,545.217122404,545.793037435,A
SanctSound_GR03_05_5421_201005023324part1.wav,579.672616318,580.049578883,A
SanctSound_GR03_05_5421_201005023324part1.wav,643.730205737,644.31659195,A
SanctSound_GR03_05_5421_201005023324part1.wav,732.400365576,732.756385777,A
SanctSound_GR03_05_5421_201005023324part1.wav,765.070529581,765.719742888,A
SanctSound_GR03_05_5421_201005023324part1.wav,768.840155236,769.353243172,A
SanctSound_GR03_05_5421_201005023324part1.wav,921.976280606,922.395127901,A
SanctSound_GR03_05_5421_201005023324part1.wav,953.065296073,953.494614551,A
