Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_06_671666216_210420024227part1.wav,162.24220591,164.300956148,B
SanctSound_GR03_06_671666216_210420024227part1.wav,331.901967825,333.27951394,B
SanctSound_GR03_06_671666216_210420024227part1.wav,13.828258345,14.955754401,B
SanctSound_GR03_06_671666216_210420024227part1.wav,46.085145358,49.244035066,B
SanctSound_GR03_06_671666216_210420024227part1.wav,53.13462611,54.742615148,B
SanctSound_GR03_06_671666216_210420024227part1.wav,57.568489375,59.670311549,B
SanctSound_GR03_06_671666216_210420024227part1.wav,67.994765858,69.926255649,B
SanctSound_GR03_06_671666216_210420024227part1.wav,106.50665406,109.17077791,B
SanctSound_GR03_06_671666216_210420024227part1.wav,124.715978076,127.65602904,B
SanctSound_GR03_06_671666216_210420024227part1.wav,128.540898747,130.091799417,B
SanctSound_GR03_06_671666216_210420024227part1.wav,133.849184269,135.73310042,B
SanctSound_GR03_06_671666216_210420024227part1.wav,143.458126863,144.799703516,B
SanctSound_GR03_06_671666216_210420024227part1.wav,186.855014173,188.539121036,B
SanctSound_GR03_06_671666216_210420024227part1.wav,236.973005134,238.44778798,B
SanctSound_GR03_06_671666216_210420024227part1.wav,241.987266809,246.077667142,B
SanctSound_GR03_06_671666216_210420024227part1.wav,294.764159669,297.276047871,B
SanctSound_GR03_06_671666216_210420024227part1.wav,307.398785779,310.167571638,B
SanctSound_GR03_06_671666216_210420024227part1.wav,344.340743855,347.08098553,B
SanctSound_GR03_06_671666216_210420024227part1.wav,350.134280507,352.265579587,B
SanctSound_GR03_06_671666216_210420024227part1.wav,359.99060603,360.742269545,B
SanctSound_GR03_06_671666216_210420024227part1.wav,375.764159669,378.114297494,B
SanctSound_GR03_06_671666216_210420024227part1.wav,397.379756323,400.947779337,B
SanctSound_GR03_06_671666216_210420024227part1.wav,423.951593562,425.778421345,B
SanctSound_GR03_06_671666216_210420024227part1.wav,428.508215569,429.4692031,B
