Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_05_5421_210120133948part1.wav,10.887686648,11.024696162,C
SanctSound_GR03_05_5421_210120133948part1.wav,100.471909015,100.614629936,C
SanctSound_GR03_05_5421_210120133948part1.wav,114.52329688,114.666017801,C
SanctSound_GR03_05_5421_210120133948part1.wav,146.594646924,146.746882572,C
SanctSound_GR03_05_5421_210120133948part1.wav,169.703123157,169.883902989,C
SanctSound_GR03_05_5421_210120133948part1.wav,250.560402236,250.712637885,C
SanctSound_GR03_05_5421_210120133948part1.wav,252.377715291,252.568009852,C
SanctSound_GR03_05_5421_210120133948part1.wav,372.888649937,373.040885585,C
SanctSound_GR03_05_5421_210120133948part1.wav,425.204543074,425.337749267,C
SanctSound_GR03_05_5421_210120133948part1.wav,433.091319894,433.25307027,C
SanctSound_GR03_05_5421_210120133948part1.wav,860.762118637,860.933383742,C
SanctSound_GR03_05_5421_210120133948part1.wav,907.141754202,907.265445667,C
SanctSound_GR03_05_5421_210120133948part1.wav,1069.902932445,1070.017109182,C
SanctSound_GR03_05_5421_210120133948part1.wav,1149.352031775,1149.466208512,C
SanctSound_GR03_05_5421_210120133948part1.wav,1149.808738721,1149.903886001,C
