Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_06_671666216_210420024227part1.wav,6.887730575,8.704274903,D
SanctSound_GR03_06_671666216_210420024227part1.wav,173.078620699,177.78879778,D
SanctSound_GR03_06_671666216_210420024227part1.wav,41.337296067,43.668404436,D
SanctSound_GR03_06_671666216_210420024227part1.wav,60.336342511,65.369633643,D
SanctSound_GR03_06_671666216_210420024227part1.wav,97.183153306,97.839669541,D
SanctSound_GR03_06_671666216_210420024227part1.wav,152.952892721,155.084191801,D
SanctSound_GR03_06_671666216_210420024227part1.wav,253.969669462,254.835509713,D
SanctSound_GR03_06_671666216_210420024227part1.wav,283.852632057,291.396878667,D
SanctSound_GR03_06_671666216_210420024227part1.wav,305.648075821,307.332182683,D
SanctSound_GR03_06_671666216_210420024227part1.wav,412.791750297,413.36263398,D
SanctSound_GR03_06_671666216_210420024227part1.wav,469.874522181,470.597641512,D
SanctSound_GR03_06_671666216_210420024227part1.wav,480.492025948,481.54816076,D
SanctSound_GR03_06_671666216_210420024227part1.wav,501.345511636,504.380709879,D
SanctSound_GR03_06_671666216_210420024227part1.wav,507.492025948,507.872615069,D
SanctSound_GR03_06_671666216_210420024227part1.wav,517.234174734,517.614763856,D
SanctSound_GR03_06_671666216_210420024227part1.wav,538.725147201,542.426376407,D
SanctSound_GR03_06_671666216_210420024227part1.wav,569.883083353,572.623325028,D
SanctSound_GR03_06_671666216_210420024227part1.wav,598.081939086,599.813619588,D
SanctSound_GR03_06_671666216_210420024227part1.wav,615.882129797,616.73845532,D
SanctSound_GR03_06_671666216_210420024227part1.wav,656.657590549,658.436844692,D
SanctSound_GR03_06_671666216_210420024227part1.wav,690.031525611,693.076238582,D
SanctSound_GR03_06_671666216_210420024227part1.wav,740.892598081,742.719425864,D
SanctSound_GR03_06_671666216_210420024227part1.wav,759.568143772,762.507262012,D
SanctSound_GR03_06_671666216_210420024227part1.wav,784.474903604,785.816480257,D
SanctSound_GR03_06_671666216_210420024227part1.wav,866.46443532,867.863100341,D
SanctSound_GR03_06_671666216_210420024227part1.wav,873.904012508,876.577651086,D
SanctSound_GR03_06_671666216_210420024227part1.wav,930.815519287,931.43397661,D
SanctSound_GR03_06_671666216_210420024227part1.wav,1029.739401463,1035.580511755,D
SanctSound_GR03_06_671666216_210420024227part1.wav,1122.003906736,1122.574790418,D
SanctSound_GR03_06_671666216_210420024227part1.wav,1164.082885228,1164.853578199,D
