Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_05_5421_201005023324part1.wav,75.782867539,76.64497869,F
SanctSound_GR03_05_5421_201005023324part1.wav,137.465799383,138.088834734,F
SanctSound_GR03_05_5421_201005023324part1.wav,162.060591819,164.626031501,F
SanctSound_GR03_05_5421_201005023324part1.wav,437.070525851,439.913470615,F
SanctSound_GR03_05_5421_201005023324part1.wav,476.133365445,479.232835428,F
SanctSound_GR03_05_5421_201005023324part1.wav,481.107177072,481.515553185,F
SanctSound_GR03_05_5421_201005023324part1.wav,483.279966165,492.086230541,F
SanctSound_GR03_05_5421_201005023324part1.wav,628.416082766,631.892515314,F
SanctSound_GR03_05_5421_201005023324part1.wav,650.457959162,655.719747055,F
SanctSound_GR03_05_5421_201005023324part1.wav,781.761631784,782.243306174,F
SanctSound_GR03_05_5421_201005023324part1.wav,788.023398844,793.714505214,F
SanctSound_GR03_05_5421_201005023324part1.wav,899.641211104,903.327067299,F
SanctSound_GR03_05_5421_201005023324part1.wav,961.049591383,963.227597317,F
SanctSound_GR03_05_5421_201005023324part1.wav,1088.93440421,1092.138586017,F
SanctSound_GR03_05_5421_201005023324part1.wav,1187.442258639,1189.578379843,F
