Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_05_5421_210120133948part1.wav,72.745940691,72.875338566,G
SanctSound_GR03_05_5421_210120133948part1.wav,155.470955459,155.66125002,G
SanctSound_GR03_05_5421_210120133948part1.wav,371.090366338,371.423381819,G
SanctSound_GR03_05_5421_210120133948part1.wav,374.571824076,374.89532483,G
SanctSound_GR03_05_5421_210120133948part1.wav,743.695515541,743.89532483,G
SanctSound_GR03_05_5421_210120133948part1.wav,1009.405305919,1009.652688848,G
SanctSound_GR03_05_5421_210120133948part1.wav,1027.528997383,1027.852498137,G
SanctSound_GR03_05_5421_210120133948part1.wav,1061.816346337,1062.082758722,G
SanctSound_GR03_05_5421_210120133948part1.wav,1062.701216044,1062.901025333,G
SanctSound_GR03_05_5421_210120133948part1.wav,1063.481423743,1063.624144664,G
SanctSound_GR03_05_5421_210120133948part1.wav,1157.419588428,1157.686000813,G
