Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_06_671666216_210420024227part1.wav,0.0,0.650124725,M
SanctSound_GR03_06_671666216_210420024227part1.wav,0.716079407,1.52637979,M
SanctSound_GR03_06_671666216_210420024227part1.wav,1.582912374,2.185926612,M
SanctSound_GR03_06_671666216_210420024227part1.wav,2.251881294,4.35300903,M
SanctSound_GR03_06_671666216_210420024227part1.wav,4.456652102,5.078510534,M
SanctSound_GR03_06_671666216_210420024227part1.wav,5.370595556,6.011298184,M
SanctSound_GR03_06_671666216_210420024227part1.wav,6.425870472,7.801496702,M
SanctSound_GR03_06_671666216_210420024227part1.wav,8.300867868,9.18654503,M
SanctSound_GR03_06_671666216_210420024227part1.wav,9.26192181,9.629383611,M
SanctSound_GR03_06_671666216_210420024227part1.wav,9.770715073,10.420839798,M
SanctSound_GR03_06_671666216_210420024227part1.wav,10.665814332,11.928375393,M
SanctSound_GR03_06_671666216_210420024227part1.wav,11.984907977,12.456012851,M
SanctSound_GR03_06_671666216_210420024227part1.wav,12.53138963,14.679627853,M
SanctSound_GR03_06_671666216_210420024227part1.wav,15.016957692,16.449116507,M
SanctSound_GR03_06_671666216_210420024227part1.wav,16.581025872,19.200368967,M
SanctSound_GR03_06_671666216_210420024227part1.wav,19.360544624,20.736170854,M
SanctSound_GR03_06_671666216_210420024227part1.wav,20.877502316,22.064686597,M
SanctSound_GR03_06_671666216_210420024227part1.wav,22.206018059,23.553377997,M
SanctSound_GR03_06_671666216_210420024227part1.wav,23.722975751,25.183400858,M
SanctSound_GR03_06_671666216_210420024227part1.wav,25.494330075,28.639444959,M
SanctSound_GR03_06_671666216_210420024227part1.wav,28.780776421,34.744964117,M
SanctSound_GR03_06_671666216_210420024227part1.wav,35.074737529,36.280766005,M
SanctSound_GR03_06_671666216_210420024227part1.wav,36.535162636,39.116817342,M
SanctSound_GR03_06_671666216_210420024227part1.wav,39.239304609,41.387542831,M
SanctSound_GR03_06_671666216_210420024227part1.wav,41.517586526,45.653887314,M
SanctSound_GR03_06_671666216_210420024227part1.wav,45.955394433,47.557151002,M
SanctSound_GR03_06_671666216_210420024227part1.wav,47.707904562,48.339185092,M
SanctSound_GR03_06_671666216_210420024227part1.wav,48.574737529,56.054017248,M
SanctSound_GR03_06_671666216_210420024227part1.wav,56.261303392,59.219841996,M
SanctSound_GR03_06_671666216_210420024227part1.wav,59.370595556,59.851122527,M
SanctSound_GR03_06_671666216_210420024227part1.wav,60.105519158,62.347978355,M
SanctSound_GR03_06_671666216_210420024227part1.wav,62.649485474,70.109920998,M
SanctSound_GR03_06_671666216_210420024227part1.wav,70.222986168,71.042708647,M
SanctSound_GR03_06_671666216_210420024227part1.wav,71.193462207,74.915190706,M
SanctSound_GR03_06_671666216_210420024227part1.wav,75.179009435,75.923355135,M
SanctSound_GR03_06_671666216_210420024227part1.wav,76.158907572,79.55086266,M
SanctSound_GR03_06_671666216_210420024227part1.wav,79.908902363,81.878120734,M
SanctSound_GR03_06_671666216_210420024227part1.wav,82.187184281,83.647609388,M
SanctSound_GR03_06_671666216_210420024227part1.wav,83.873739727,84.815949474,M
SanctSound_GR03_06_671666216_210420024227part1.wav,85.023235618,85.880646488,M
SanctSound_GR03_06_671666216_210420024227part1.wav,85.956023267,89.687173864,M
SanctSound_GR03_06_671666216_210420024227part1.wav,89.998103081,92.174607595,M
SanctSound_GR03_06_671666216_210420024227part1.wav,92.353627447,97.986176063,M
SanctSound_GR03_06_671666216_210420024227part1.wav,98.221728499,100.737428523,M
SanctSound_GR03_06_671666216_210420024227part1.wav,101.010669349,106.296466028,M
SanctSound_GR03_06_671666216_210420024227part1.wav,106.466063782,111.806527376,M
SanctSound_GR03_06_671666216_210420024227part1.wav,111.947858838,115.726119923,M
SanctSound_GR03_06_671666216_210420024227part1.wav,115.942828164,121.181514356,M
SanctSound_GR03_06_671666216_210420024227part1.wav,121.31342372,124.204141973,M
SanctSound_GR03_06_671666216_210420024227part1.wav,124.411428117,125.023864452,M
SanctSound_GR03_06_671666216_210420024227part1.wav,125.278261084,129.810289965,M
SanctSound_GR03_06_671666216_210420024227part1.wav,130.149485474,133.239933443,M
SanctSound_GR03_06_671666216_210420024227part1.wav,133.447219588,135.774477662,M
SanctSound_GR03_06_671666216_210420024227part1.wav,136.41331462,137.280147587,M
SanctSound_GR03_06_671666216_210420024227part1.wav,137.496855829,139.145722885,M
SanctSound_GR03_06_671666216_210420024227part1.wav,139.513184686,141.604890324,M
SanctSound_GR03_06_671666216_210420024227part1.wav,141.812176468,142.62247685,M
SanctSound_GR03_06_671666216_210420024227part1.wav,142.763808312,143.574108695,M
SanctSound_GR03_06_671666216_210420024227part1.wav,143.800239034,144.450363759,M
SanctSound_GR03_06_671666216_210420024227part1.wav,144.81782556,145.56217126,M
SanctSound_GR03_06_671666216_210420024227part1.wav,145.891944671,146.947219588,M
SanctSound_GR03_06_671666216_210420024227part1.wav,147.154505732,150.808413879,M
SanctSound_GR03_06_671666216_210420024227part1.wav,150.902634854,156.113054753,M
SanctSound_GR03_06_671666216_210420024227part1.wav,156.452250262,159.269457404,M
SanctSound_GR03_06_671666216_210420024227part1.wav,159.420210964,160.060913591,M
SanctSound_GR03_06_671666216_210420024227part1.wav,160.795837194,161.540182894,M
SanctSound_GR03_06_671666216_210420024227part1.wav,160.098601981,160.682772024,M
