Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_05_5421_201005023324part1.wav,12.743834565,13.322651093,POS
SanctSound_GR03_05_5421_201005023324part1.wav,51.071415179,53.620670951,POS
SanctSound_GR03_05_5421_201005023324part1.wav,52.980278197,53.33742031,POS
SanctSound_GR03_05_5421_201005023324part1.wav,54.291846675,55.757360863,POS
SanctSound_GR03_05_5421_201005023324part1.wav,62.799236864,63.562782071,POS
SanctSound_GR03_05_5421_201005023324part1.wav,63.587412562,64.080022373,POS
SanctSound_GR03_05_5421_201005023324part1.wav,73.475196275,75.765451152,POS
SanctSound_GR03_05_5421_201005023324part1.wav,75.782867539,76.64497869,POS
SanctSound_GR03_05_5421_201005023324part1.wav,83.199418578,83.390998834,POS
SanctSound_GR03_05_5421_201005023324part1.wav,90.779983046,90.971563301,POS
SanctSound_GR03_05_5421_201005023324part1.wav,100.128310784,100.363432007,POS
SanctSound_GR03_05_5421_201005023324part1.wav,107.491170415,107.682750671,POS
SanctSound_GR03_05_5421_201005023324part1.wav,108.022370216,108.457779888,POS
SanctSound_GR03_05_5421_201005023324part1.wav,110.539038122,110.756742959,POS
SanctSound_GR03_05_5421_201005023324part1.wav,76.779888634,76.926485188,POS
SanctSound_GR03_05_5421_201005023324part1.wav,70.203986104,70.49717921,POS
SanctSound_GR03_05_5421_201005023324part1.wav,103.015492321,103.298214245,POS
SanctSound_GR03_05_5421_201005023324part1.wav,111.418634926,111.984078774,POS
SanctSound_GR03_05_5421_201005023324part1.wav,112.245858333,112.832244546,POS
SanctSound_GR03_05_5421_201005023324part1.wav,113.926501854,114.146396684,POS
SanctSound_GR03_05_5421_201005023324part1.wav,121.266800698,121.549522622,POS
SanctSound_GR03_05_5421_201005023324part1.wav,121.706590358,122.125437653,POS
SanctSound_GR03_05_5421_201005023324part1.wav,136.418639092,136.690889834,POS
SanctSound_GR03_05_5421_201005023324part1.wav,137.465799383,138.088834734,POS
SanctSound_GR03_05_5421_201005023324part1.wav,139.638529756,139.847953403,POS
SanctSound_GR03_05_5421_201005023324part1.wav,143.884612958,144.041680694,POS
SanctSound_GR03_05_5421_201005023324part1.wav,142.994562456,143.245870833,POS
SanctSound_GR03_05_5421_201005023324part1.wav,149.123427247,149.280494983,POS
SanctSound_GR03_05_5421_201005023324part1.wav,162.060591819,164.626031501,POS
SanctSound_GR03_05_5421_201005023324part1.wav,184.311351134,184.552188329,POS
SanctSound_GR03_05_5421_201005023324part1.wav,198.185705279,198.311359468,POS
SanctSound_GR03_05_5421_201005023324part1.wav,202.709256065,203.861086126,POS
SanctSound_GR03_05_5421_201005023324part1.wav,204.112394503,204.751136627,POS
SanctSound_GR03_05_5421_201005023324part1.wav,208.128111693,208.348006523,POS
SanctSound_GR03_05_5421_201005023324part1.wav,205.971048124,206.410837784,POS
SanctSound_GR03_05_5421_201005023324part1.wav,220.536480432,220.787788809,POS
SanctSound_GR03_05_5421_201005023324part1.wav,222.719740707,222.991991449,POS
SanctSound_GR03_05_5421_201005023324part1.wav,224.625495899,224.908217823,POS
SanctSound_GR03_05_5421_201005023324part1.wav,229.604561867,230.651680105,POS
SanctSound_GR03_05_5421_201005023324part1.wav,232.368954014,232.578377661,POS
SanctSound_GR03_05_5421_201005023324part1.wav,235.437010449,235.667376462,POS
SanctSound_GR03_05_5421_201005023324part1.wav,260.934397862,261.238062151,POS
SanctSound_GR03_05_5421_201005023324part1.wav,262.002458464,262.295651571,POS
SanctSound_GR03_05_5421_201005023324part1.wav,263.17523089,263.384654538,POS
SanctSound_GR03_05_5421_201005023324part1.wav,259.887279625,260.190943914,POS
SanctSound_GR03_05_5421_201005023324part1.wav,264.180464398,264.902975982,POS
SanctSound_GR03_05_5421_201005023324part1.wav,271.285180388,271.609787042,POS
SanctSound_GR03_05_5421_201005023324part1.wav,271.882037784,272.133346161,POS
SanctSound_GR03_05_5421_201005023324part1.wav,272.21711562,273.348003316,POS
SanctSound_GR03_05_5421_201005023324part1.wav,273.955331894,274.206640271,POS
SanctSound_GR03_05_5421_201005023324part1.wav,276.693564834,276.913459664,POS
SanctSound_GR03_05_5421_201005023324part1.wav,277.395134053,277.615028883,POS
SanctSound_GR03_05_5421_201005023324part1.wav,278.26424219,278.452723473,POS
SanctSound_GR03_05_5421_201005023324part1.wav,279.384658704,279.89774664,POS
SanctSound_GR03_05_5421_201005023324part1.wav,277.457961147,278.756387762,POS
SanctSound_GR03_05_5421_201005023324part1.wav,307.965807243,309.756379428,POS
SanctSound_GR03_05_5421_201005023324part1.wav,179.973803294,180.92668089,POS
SanctSound_GR03_05_5421_201005023324part1.wav,310.913468543,311.154305737,POS
SanctSound_GR03_05_5421_201005023324part1.wav,313.918697884,315.353249869,POS
SanctSound_GR03_05_5421_201005023324part1.wav,316.348012195,319.887271837,POS
