Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_05_5421_201005023324part1.wav,12.743834565,13.322651093,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,51.071415179,53.620670951,B
SanctSound_GR03_05_5421_201005023324part1.wav,52.980278197,53.33742031,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,54.291846675,55.757360863,B
SanctSound_GR03_05_5421_201005023324part1.wav,62.799236864,63.562782071,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,63.587412562,64.080022373,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,73.475196275,75.765451152,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,75.782867539,76.64497869,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,83.199418578,83.390998834,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,90.779983046,90.971563301,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,100.128310784,100.363432007,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,107.491170415,107.682750671,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,108.022370216,108.457779888,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,110.539038122,110.756742959,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,76.779888634,76.926485188,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,70.203986104,70.49717921,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,103.015492321,103.298214245,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,111.418634926,111.984078774,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,112.245858333,112.832244546,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,113.926501854,114.146396684,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,121.266800698,121.549522622,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,121.706590358,122.125437653,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,136.418639092,136.690889834,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,137.465799383,138.088834734,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,139.638529756,139.847953403,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,143.884612958,144.041680694,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,142.994562456,143.245870833,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,149.123427247,149.280494983,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,162.060591819,164.626031501,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,184.311351134,184.552188329,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,198.185705279,198.311359468,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,202.709256065,203.861086126,B
SanctSound_GR03_05_5421_201005023324part1.wav,204.112394503,204.751136627,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,208.128111693,208.348006523,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,205.971048124,206.410837784,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,220.536480432,220.787788809,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,222.719740707,222.991991449,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,224.625495899,224.908217823,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,229.604561867,230.651680105,B
SanctSound_GR03_05_5421_201005023324part1.wav,232.368954014,232.578377661,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,235.437010449,235.667376462,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,260.934397862,261.238062151,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,262.002458464,262.295651571,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,263.17523089,263.384654538,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,259.887279625,260.190943914,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,264.180464398,264.902975982,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,271.285180388,271.609787042,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,271.882037784,272.133346161,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,272.21711562,273.348003316,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,273.955331894,274.206640271,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,276.693564834,276.913459664,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,277.395134053,277.615028883,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,278.26424219,278.452723473,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,279.384658704,279.89774664,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,277.457961147,278.756387762,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,307.965807243,309.756379428,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,179.973803294,180.92668089,B
SanctSound_GR03_05_5421_201005023324part1.wav,310.913468543,311.154305737,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,313.918697884,315.353249869,B
SanctSound_GR03_05_5421_201005023324part1.wav,316.348012195,319.887271837,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,326.185706784,326.604554079,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,321.704040729,325.107175,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,337.777343172,338.248546379,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,341.69356538,344.248533879,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,343.180473277,343.515551113,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,344.635967627,344.887276003,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,344.185706784,344.38465925,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,352.484137565,352.777330672,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,359.379429908,359.82969075,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,360.217124498,364.259000894,B
SanctSound_GR03_05_5421_201005023324part1.wav,359.044352072,359.295660449,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,368.023409708,369.31136514,B
SanctSound_GR03_05_5421_201005023324part1.wav,371.437015161,371.677852356,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,375.243308704,376.206657483,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,383.285202007,383.578395113,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,386.154305977,386.363729625,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,391.908239442,392.096720724,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,389.793060602,390.012955432,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,398.688348778,399.861121204,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,399.944890663,400.740700524,B
SanctSound_GR03_05_5421_201005023324part1.wav,414.410847862,415.929169306,B
SanctSound_GR03_05_5421_201005023324part1.wav,416.515557352,417.69880096,B
SanctSound_GR03_05_5421_201005023324part1.wav,422.594097469,423.285195506,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,428.609810493,429.028657788,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,432.578388613,432.777341078,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,434.609797993,434.840164005,UNK
SanctSound_GR03_05_5421_201005023324part1.wav,434.829692823,435.060058835,UNK
