Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_05_5421_210120013948part1.wav,592.174296728,592.358586082,C
SanctSound_GR03_05_5421_210120013948part1.wav,593.028729188,593.187888176,C
SanctSound_GR03_05_5421_210120013948part1.wav,593.749133028,593.941799171,C
SanctSound_GR03_05_5421_210120013948part1.wav,594.486290445,596.035996379,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,596.505096553,596.664255541,C
SanctSound_GR03_05_5421_210120013948part1.wav,597.38465938,597.568948735,C
SanctSound_GR03_05_5421_210120013948part1.wav,598.172077531,598.314482941,C
SanctSound_GR03_05_5421_210120013948part1.wav,604.055912086,604.617156937,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,605.647501963,605.806660951,C
SanctSound_GR03_05_5421_210120013948part1.wav,606.535441579,608.17729219,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,615.920773866,616.121816798,C
SanctSound_GR03_05_5421_210120013948part1.wav,613.968982068,614.681009119,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,612.402522557,612.645449433,C
SanctSound_GR03_05_5421_210120013948part1.wav,613.072665663,613.24020144,C
SanctSound_GR03_05_5421_210120013948part1.wav,609.680066187,610.031891318,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,610.149166361,611.858031283,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,1.223011169,1.725618499,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,5.537057417,6.860590052,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,4.044352201,4.438061276,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,10.172750436,12.660656719,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,13.272162304,13.51508918,C
SanctSound_GR03_05_5421_210120013948part1.wav,14.319260908,14.922389703,UNK
SanctSound_GR03_05_5421_210120013948part1.wav,8.920465985,9.181090489,C
SanctSound_GR03_05_5421_210120013948part1.wav,15.566335305,15.81391844,C
SanctSound_GR03_05_5421_210120013948part1.wav,18.731093633,18.892560895,C
SanctSound_GR03_05_5421_210120013948part1.wav,19.377853966,19.550085711,C
SanctSound_GR03_05_5421_210120013948part1.wav,20.239012694,20.443537892,C
SanctSound_GR03_05_5421_210120013948part1.wav,21.207816264,21.369283526,C
SanctSound_GR03_05_5421_210120013948part1.wav,22.133561897,22.370380548,C
SanctSound_GR03_05_5421_210120013948part1.wav,23.758998997,23.931230743,C
SanctSound_GR03_05_5421_210120013948part1.wav,25.072266058,25.276791257,C
SanctSound_GR03_05_5421_210120013948part1.wav,26.590058318,26.869934904,C
SanctSound_GR03_05_5421_210120013948part1.wav,32.210010308,32.349948601,C
SanctSound_GR03_05_5421_210120013948part1.wav,32.758998997,32.941995227,C
