Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_06_671666216_210420144227part1.wav,9.441475103,9.753552331,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,11.884811449,12.037044244,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,19.377706787,19.621279258,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,20.801083413,21.090325722,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,27.243572471,27.471921662,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,37.82679353,37.994249604,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,45.228349191,45.662212655,D
SanctSound_GR03_06_671666216_210420144227part1.wav,47.717355376,47.945704567,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,61.101659848,61.368067238,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,73.111299397,73.255920552,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,83.656462258,85.300576435,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,82.994249604,83.123647479,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,100.255944101,100.417694477,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,123.860118915,123.955266195,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,124.183619668,124.278766948,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,127.579444854,127.665077406,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,127.998092888,128.17887272,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,152.353931216,152.506166865,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,153.105594731,153.191227284,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,166.947658579,167.366306613,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,169.497605693,170.829667618,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,176.927675567,177.060881759,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,177.412926697,177.555647617,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,182.0361518,182.331108369,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,191.188387448,191.635579666,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,197.372960672,197.515681593,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,199.436723934,200.216931633,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,223.059928203,223.212163852,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,223.783047534,223.916253727,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,224.981903267,225.191227284,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,225.429095484,225.561368954,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,243.827781339,243.97050226,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,257.803984102,258.68885381,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,270.09514728,270.837296067,D
SanctSound_GR03_06_671666216_210420144227part1.wav,288.362492388,289.236914645,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,294.184573224,294.355838329,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,298.807798327,298.998092888,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,311.632718998,311.81349883,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,313.307311132,313.469061509,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,324.932443348,325.06564954,UNK
SanctSound_GR03_06_671666216_210420144227part1.wav,330.993325107,331.145560756,UNK
