Audiofilename,Starttime,Endtime,Q
SanctSound_GR03_06_671666216_210720141428part1.wav,594.468062361,594.582236957,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,595.29011945,595.404294045,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,595.701147994,595.80771095,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,596.264409332,596.378583928,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,40.772498097,40.917119252,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,48.227335236,48.326286552,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,48.744926736,48.859101332,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,54.943843324,55.210250714,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,72.456698382,72.662212655,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,82.842016809,83.275880273,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,94.42236267,94.544148906,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,95.069352046,95.175915002,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,95.586943546,95.723953061,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,96.317660958,96.477505392,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,97.611639708,97.741037583,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,99.228349191,99.365358706,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,99.867726927,100.012348081,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,103.277741516,103.574595465,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,102.470907707,102.547024104,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,100.82679353,101.420501427,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,111.531800825,111.6611987,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,115.368067238,115.482241833,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,123.561233428,123.713466223,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,127.438599905,127.583221059,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,126.334912147,126.799222169,UNK
SanctSound_GR03_06_671666216_210720141428part1.wav,129.40240295,129.585082303,UNK
