	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
0	1	Spectrogram 1	1	12.743834565	13.322651093	188.1	1128.6	UNK
1	6	Spectrogram 1	1	51.071415179	53.620670951	47.1	942.8	UNK
2	7	Spectrogram 1	1	52.980278197	53.33742031	23.6	1154.9	UNK
3	8	Spectrogram 1	1	54.291846675	55.757360863	23.6	942.8	UNK
4	9	Spectrogram 1	1	62.799236864	63.562782071	0.0	966.4	UNK
5	10	Spectrogram 1	1	63.587412562	64.080022373	0.0	966.4	A
6	12	Spectrogram 1	1	73.475196275	75.765451152	56.4	428.8	UNK
7	14	Spectrogram 1	1	75.782867539	76.64497869	74.7	313.7	UNK
8	15	Spectrogram 1	1	83.199418578	83.390998834	92.6	454.6	UNK
9	16	Spectrogram 1	1	90.779983046	90.971563301	117.9	328.3	UNK
10	17	Spectrogram 1	1	100.128310784	100.363432007	58.9	681.9	UNK
11	18	Spectrogram 1	1	107.491170415	107.682750671	159.9	656.6	UNK
12	19	Spectrogram 1	1	108.022370216	108.457779888	109.4	572.4	A
13	20	Spectrogram 1	1	110.539038122	110.756742959	269.4	799.7	UNK
14	21	Spectrogram 1	1	76.779888634	76.926485188	0.0	447.6	UNK
15	22	Spectrogram 1	1	70.203986104	70.49717921	58.4	700.6	A
16	23	Spectrogram 1	1	103.015492321	103.298214245	58.4	739.5	UNK
17	24	Spectrogram 1	1	111.418634926	111.984078774	97.3	895.2	A
18	26	Spectrogram 1	1	112.245858333	112.832244546	136.2	973.1	A
19	27	Spectrogram 1	1	113.926501854	114.146396684	97.3	389.2	UNK
20	28	Spectrogram 1	1	121.266800698	121.549522622	97.3	642.2	UNK
21	29	Spectrogram 1	1	121.706590358	122.125437653	77.8	1050.9	A
22	30	Spectrogram 1	1	136.418639092	136.690889834	97.3	486.5	UNK
23	31	Spectrogram 1	1	137.465799383	138.088834734	0.0	467.1	UNK
24	32	Spectrogram 1	1	139.638529756	139.847953403	0.0	467.1	UNK
25	33	Spectrogram 1	1	143.884612958	144.041680694	19.5	389.2	UNK
26	34	Spectrogram 1	1	142.994562456	143.245870833	77.8	622.8	UNK
27	35	Spectrogram 1	1	149.123427247	149.280494983	19.5	467.1	UNK
28	36	Spectrogram 1	1	162.060591819	164.626031501	0.0	350.3	UNK
29	37	Spectrogram 1	1	184.311351134	184.552188329	77.8	603.3	UNK
30	38	Spectrogram 1	1	198.185705279	198.311359468	0.0	428.2	UNK
31	39	Spectrogram 1	1	202.709256065	203.861086126	369.8	1050.9	UNK
32	40	Spectrogram 1	1	204.112394503	204.751136627	0.0	467.1	UNK
33	41	Spectrogram 1	1	208.128111693	208.348006523	77.8	389.2	UNK
34	42	Spectrogram 1	1	205.971048124	206.410837784	583.8	1342.9	A
35	43	Spectrogram 1	1	220.536480432	220.787788809	41.1	355.8	UNK
36	44	Spectrogram 1	1	222.719740707	222.991991449	41.1	342.1	UNK
37	45	Spectrogram 1	1	224.625495899	224.908217823	27.4	301.1	UNK
38	46	Spectrogram 1	1	229.604561867	230.651680105	13.7	410.6	UNK
39	47	Spectrogram 1	1	232.368954014	232.578377661	54.7	438.0	UNK
40	48	Spectrogram 1	1	235.437010449	235.667376462	90.9	424.3	UNK
41	49	Spectrogram 1	1	260.934397862	261.238062151	90.9	484.9	UNK
42	50	Spectrogram 1	1	262.002458464	262.295651571	60.6	424.3	UNK
43	51	Spectrogram 1	1	263.17523089	263.384654538	30.3	333.4	UNK
44	52	Spectrogram 1	1	259.887279625	260.190943914	30.3	484.9	UNK
45	53	Spectrogram 1	1	264.180464398	264.902975982	363.7	757.6	A
46	54	Spectrogram 1	1	271.285180388	271.609787042	30.3	409.1	UNK
47	55	Spectrogram 1	1	271.882037784	272.133346161	484.9	1045.5	UNK
48	56	Spectrogram 1	1	272.21711562	273.348003316	348.5	1151.6	UNK
49	57	Spectrogram 1	1	273.955331894	274.206640271	0.0	424.3	UNK
50	58	Spectrogram 1	1	276.693564834	276.913459664	15.2	348.5	UNK
51	59	Spectrogram 1	1	277.395134053	277.615028883	30.3	424.3	UNK
52	60	Spectrogram 1	1	278.26424219	278.452723473	0.0	394.0	UNK
53	61	Spectrogram 1	1	279.384658704	279.89774664	60.6	484.9	UNK
54	62	Spectrogram 1	1	277.457961147	278.756387762	197.0	1000.1	UNK
55	63	Spectrogram 1	1	307.965807243	309.756379428	333.4	1545.5	UNK
56	64	Spectrogram 1	1	179.973803294	180.92668089	339.623	933.962	UNK
57	65	Spectrogram 1	1	310.913468543	311.154305737	169.811	806.604	UNK
58	66	Spectrogram 1	1	313.918697884	315.353249869	198.113	778.302	UNK
59	67	Spectrogram 1	1	316.348012195	319.887271837	0.0	424.528	UNK
60	68	Spectrogram 1	1	326.185706784	326.604554079	14.151	297.17	UNK
61	69	Spectrogram 1	1	321.704040729	325.107175	0.0	537.736	UNK
62	70	Spectrogram 1	1	337.777343172	338.248546379	28.302	424.528	UNK
63	71	Spectrogram 1	1	341.69356538	344.248533879	21.226	226.415	UNK
64	74	Spectrogram 1	1	343.180473277	343.515551113	148.585	537.736	UNK
65	75	Spectrogram 1	1	344.635967627	344.887276003	176.887	608.491	UNK
66	76	Spectrogram 1	1	344.185706784	344.38465925	28.302	311.321	UNK
67	77	Spectrogram 1	1	352.484137565	352.777330672	410.377	707.547	UNK
68	78	Spectrogram 1	1	359.379429908	359.82969075	0.0	396.226	UNK
69	79	Spectrogram 1	1	360.217124498	364.259000894	56.604	877.358	UNK
70	80	Spectrogram 1	1	359.044352072	359.295660449	735.849	1358.491	UNK
71	81	Spectrogram 1	1	368.023409708	369.31136514	169.811	962.264	UNK
72	82	Spectrogram 1	1	371.437015161	371.677852356	268.868	877.358	UNK
73	83	Spectrogram 1	1	375.243308704	376.206657483	240.566	962.264	UNK
74	84	Spectrogram 1	1	383.285202007	383.578395113	28.302	339.623	UNK
75	85	Spectrogram 1	1	386.154305977	386.363729625	99.057	382.075	UNK
76	86	Spectrogram 1	1	391.908239442	392.096720724	14.151	254.717	UNK
77	87	Spectrogram 1	1	389.793060602	390.012955432	14.151	622.642	UNK
78	89	Spectrogram 1	1	398.688348778	399.861121204	212.264	750.0	UNK
79	90	Spectrogram 1	1	399.944890663	400.740700524	240.566	849.057	UNK
80	91	Spectrogram 1	1	414.410847862	415.929169306	325.472	990.566	UNK
81	92	Spectrogram 1	1	416.515557352	417.69880096	283.019	976.415	UNK
