	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
0	1	Spectrogram 1	1	0.0	1199.999979167	0.0	1195.2	UNK
1	3	Spectrogram 1	1	6.887730575	8.704274903	593.7	1559.3	UNK
2	4	Spectrogram 1	1	162.24220591	164.300956148	498.7	1092.3	B
3	5	Spectrogram 1	1	166.299154908	166.571636558	633.2	1163.6	UNK
4	6	Spectrogram 1	1	170.719412772	171.27951394	569.9	1662.2	UNK
5	7	Spectrogram 1	1	173.078620699	177.78879778	459.1	1195.2	UNK
6	8	Spectrogram 1	1	331.069385008	331.690037653	372.0	1124.0	UNK
7	9	Spectrogram 1	1	331.901967825	333.27951394	522.4	1044.8	B
8	10	Spectrogram 1	1	334.838714488	339.879624996	443.3	1052.7	UNK
9	11	Spectrogram 1	1	13.828258345	14.955754401	522.4	1155.6	B
10	12	Spectrogram 1	1	21.663642325	21.806363344	498.7	1116.1	UNK
11	13	Spectrogram 1	1	22.220254301	22.405791627	419.5	1108.2	UNK
12	14	Spectrogram 1	1	24.903409471	41.166963685	372.0	1733.5	UNK
13	15	Spectrogram 1	1	41.337296067	43.668404436	498.7	1084.4	UNK
14	16	Spectrogram 1	1	46.085145358	49.244035066	538.2	1408.9	B
15	17	Spectrogram 1	1	44.477156319	44.5723036	395.8	1282.3	UNK
16	18	Spectrogram 1	1	45.143187282	45.304937659	364.1	1250.6	UNK
17	19	Spectrogram 1	1	53.13462611	54.742615148	625.3	1131.9	B
18	20	Spectrogram 1	1	57.568489375	59.670311549	372.0	1456.4	B
19	21	Spectrogram 1	1	60.336342511	65.369633643	538.2	1219.0	UNK
20	22	Spectrogram 1	1	67.994765858	69.926255649	514.5	1171.5	B
21	23	Spectrogram 1	1	79.754036989	79.944331549	609.5	1298.1	UNK
22	24	Spectrogram 1	1	92.845370044	92.959546781	395.8	1306.0	UNK
23	25	Spectrogram 1	1	95.736914645	95.860606109	649.1	1424.8	UNK
24	26	Spectrogram 1	1	97.183153306	97.839669541	601.6	1044.8	UNK
25	27	Spectrogram 1	1	102.949078497	103.082284689	474.9	1781.0	UNK
26	28	Spectrogram 1	1	103.672197827	103.786374564	364.1	1749.3	UNK
27	29	Spectrogram 1	1	106.50665406	109.17077791	459.1	1234.8	B
28	30	Spectrogram 1	1	124.715978076	127.65602904	372.0	1401.0	B
29	31	Spectrogram 1	1	128.540898747	130.091799417	498.7	1108.2	B
30	32	Spectrogram 1	1	133.849184269	135.73310042	403.7	1361.4	B
31	33	Spectrogram 1	1	143.458126863	144.799703516	625.3	1171.5	B
32	34	Spectrogram 1	1	147.872960672	148.120343601	474.9	1345.6	UNK
33	35	Spectrogram 1	1	149.205022598	149.414346614	467.0	1432.7	UNK
34	36	Spectrogram 1	1	149.774973557	150.031871214	364.1	1519.8	UNK
35	37	Spectrogram 1	1	152.952892721	155.084191801	379.9	1282.3	UNK
36	38	Spectrogram 1	1	161.933863265	162.05755473	459.1	1219.0	UNK
37	39	Spectrogram 1	1	171.603837853	171.81316187	340.4	1385.2	UNK
38	40	Spectrogram 1	1	186.855014173	188.539121036	688.6	1290.2	B
