	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
0	1	Spectrogram 1	1	10.887686648	11.024696162	277.0	728.2	C
1	2	Spectrogram 1	1	72.745940691	72.875338566	0.0	379.9	UNK
2	3	Spectrogram 1	1	73.385318427	73.522327942	0.0	277.0	UNK
3	4	Spectrogram 1	1	76.879061053	77.282477958	0.0	166.2	UNK
4	5	Spectrogram 1	1	98.882949433	99.444318387	211.3	853.2	UNK
5	6	Spectrogram 1	1	100.471909015	100.614629936	86.1	579.3	C
6	7	Spectrogram 1	1	103.84012274	104.097020397	242.7	547.9	UNK
7	8	Spectrogram 1	1	114.52329688	114.666017801	39.1	602.7	C
8	9	Spectrogram 1	1	116.302551023	116.816346337	0.0	1291.6	UNK
9	10	Spectrogram 1	1	111.660296464	111.898164665	0.0	1182.0	UNK
10	11	Spectrogram 1	1	119.052307425	119.261631442	0.0	1213.3	UNK
11	12	Spectrogram 1	1	121.117003409	121.250209602	0.0	1463.8	UNK
12	13	Spectrogram 1	1	128.211738937	128.335430401	0.0	837.6	UNK
13	14	Spectrogram 1	1	146.594646924	146.746882572	501.0	837.6	C
14	15	Spectrogram 1	1	155.470955459	155.66125002	0.0	383.6	UNK
15	16	Spectrogram 1	1	157.659342908	157.859152196	0.0	634.0	UNK
16	17	Spectrogram 1	1	152.093227006	152.331095207	0.0	352.2	UNK
17	18	Spectrogram 1	1	160.6840937	160.969535542	0.0	837.6	UNK
18	19	Spectrogram 1	1	166.963814205	167.201682406	23.5	641.9	UNK
19	20	Spectrogram 1	1	169.703123157	169.883902989	70.4	454.0	C
20	21	Spectrogram 1	1	204.380575959	204.865827089	0.0	367.9	UNK
21	22	Spectrogram 1	1	215.683140144	219.688840648	0.0	133.1	UNK
22	23	Spectrogram 1	1	220.810645833	222.922915458	0.0	133.1	UNK
23	24	Spectrogram 1	1	250.560402236	250.712637885	258.3	767.1	C
24	25	Spectrogram 1	1	252.377715291	252.568009852	289.6	814.1	C
25	26	Spectrogram 1	1	253.652688848	255.28922207	156.6	955.0	UNK
26	27	Spectrogram 1	1	313.807785165	316.053260982	0.0	133.1	UNK
27	28	Spectrogram 1	1	327.060868597	327.460487175	0.0	344.4	UNK
28	29	Spectrogram 1	1	371.090366338	371.423381819	0.0	227.0	UNK
29	30	Spectrogram 1	1	372.888649937	373.040885585	305.3	649.7	C
30	31	Spectrogram 1	1	374.571824076	374.89532483	0.0	227.0	UNK
31	32	Spectrogram 1	1	425.204543074	425.337749267	422.7	743.6	C
32	33	Spectrogram 1	1	433.091319894	433.25307027	101.8	571.4	C
33	34	Spectrogram 1	1	452.642220564	453.498546087	281.8	759.3	UNK
34	35	Spectrogram 1	1	526.858219474	532.043746254	93.9	774.9	UNK
35	36	Spectrogram 1	1	533.004733785	533.518529099	180.0	626.2	UNK
36	37	Spectrogram 1	1	599.191234955	599.619397716	673.2	1041.1	UNK
37	38	Spectrogram 1	1	662.55279462	662.857265917	180.0	485.3	UNK
38	39	Spectrogram 1	1	677.033277969	677.233087258	15.7	266.1	UNK
39	40	Spectrogram 1	1	717.294943407	719.521389768	70.4	892.4	UNK
40	41	Spectrogram 1	1	719.7021696	720.805878053	133.1	892.4	UNK
41	42	Spectrogram 1	1	743.695515541	743.89532483	93.9	336.6	UNK
42	43	Spectrogram 1	1	836.188374286	841.725946004	0.0	133.1	UNK
43	44	Spectrogram 1	1	843.485237968	849.136986422	0.0	156.6	UNK
44	45	Spectrogram 1	1	857.680279476	857.842029853	125.2	461.8	UNK
45	46	Spectrogram 1	1	860.762118637	860.933383742	156.6	696.7	C
46	47	Spectrogram 1	1	884.156969434	884.718338388	0.0	187.9	UNK
47	48	Spectrogram 1	1	907.141754202	907.265445667	274.0	649.7	C
48	49	Spectrogram 1	1	912.222618974	913.174091778	0.0	164.4	UNK
49	50	Spectrogram 1	1	914.724059725	914.885810101	876.7	4164.4	UNK
50	51	Spectrogram 1	1	1009.405305919	1009.652688848	0.0	422.7	UNK
51	52	Spectrogram 1	1	1027.528997383	1027.852498137	0.0	532.3	UNK
52	53	Spectrogram 1	1	1046.337749267	1049.239741318	0.0	281.8	UNK
53	54	Spectrogram 1	1	1056.755443744	1056.945738305	532.3	2019.6	UNK
54	55	Spectrogram 1	1	1061.816346337	1062.082758722	0.0	360.1	UNK
55	56	Spectrogram 1	1	1062.701216044	1062.901025333	0.0	344.4	UNK
56	57	Spectrogram 1	1	1063.481423743	1063.624144664	0.0	407.0	UNK
57	58	Spectrogram 1	1	1069.902932445	1070.017109182	1878.7	3585.1	C
58	59	Spectrogram 1	1	1146.936223577	1148.648874623	47.0	798.4	UNK
59	60	Spectrogram 1	1	1149.352031775	1149.466208512	62.6	704.5	C
60	61	Spectrogram 1	1	1149.808738721	1149.903886001	203.5	610.6	C
61	62	Spectrogram 1	1	1157.419588428	1157.686000813	0.0	409.6	UNK
62	63	Spectrogram 1	1	1165.031370857	1166.553727343	0.0	265.7	UNK
63	64	Spectrogram 1	1	1168.503313868	1169.844890521	0.0	166.1	UNK
