	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
0	1	Spectrogram 1	1	0.884869707	1.284488285	103.1	545.1	UNK
1	2	Spectrogram 1	1	1.636533222	2.112269624	216.1	616.4	UNK
2	3	Spectrogram 1	1	5.594660086	5.737381006	8.0	272.2	G
3	4	Spectrogram 1	1	4.586098914	5.052320588	72.0	408.3	UNK
4	5	Spectrogram 1	1	11.197902176	11.283534729	176.1	440.3	UNK
5	6	Spectrogram 1	1	13.576584186	13.852511299	0.0	224.1	G
6	7	Spectrogram 1	1	19.313032469	19.674592134	184.1	576.4	UNK
7	8	Spectrogram 1	1	25.469061509	25.992371551	312.2	800.5	UNK
8	9	Spectrogram 1	1	22.985717491	23.156982596	16.0	296.2	G
9	10	Spectrogram 1	1	30.025683516	30.19694862	328.2	936.6	UNK
10	11	Spectrogram 1	1	27.237868201	28.16079682	8.0	584.4	UNK
11	12	Spectrogram 1	1	39.834435399	39.967641591	32.0	1320.8	UNK
12	13	Spectrogram 1	1	40.567069458	40.862026027	0.0	1256.8	UNK
13	14	Spectrogram 1	1	41.156982596	41.842043015	96.2	336.2	UNK
14	15	Spectrogram 1	1	49.985717491	50.632718998	136.1	336.2	UNK
15	16	Spectrogram 1	1	54.856325523	54.97050226	48.0	536.3	UNK
16	17	Spectrogram 1	1	58.823967115	58.938143851	0.0	392.2	G
17	18	Spectrogram 1	1	56.464314562	57.215978076	184.1	376.2	UNK
18	19	Spectrogram 1	1	63.200742012	64.265458829	192.5	352.2	UNK
19	20	Spectrogram 1	1	71.230239752	72.238800924	186.8	376.2	UNK
20	21	Spectrogram 1	1	64.741195231	65.721212219	50.9	232.1	UNK
21	22	Spectrogram 1	1	66.215978076	67.348230713	175.5	356.6	UNK
22	23	Spectrogram 1	1	31.681246194	32.261644604	28.3	266.0	UNK
23	25	Spectrogram 1	1	76.034254876	76.728830023	203.8	311.3	UNK
24	26	Spectrogram 1	1	81.437687678	82.008571361	209.4	350.9	UNK
25	27	Spectrogram 1	1	77.718361739	79.240718225	0.0	1177.4	UNK
26	28	Spectrogram 1	1	83.102765085	83.46432475	73.6	345.3	UNK
27	29	Spectrogram 1	1	85.747859479	86.347287345	220.8	345.3	UNK
28	30	Spectrogram 1	1	87.803040735	87.936246928	0.0	300.0	G
29	31	Spectrogram 1	1	90.418658222	90.951482992	226.4	367.9	UNK
30	32	Spectrogram 1	1	93.016178976	93.710754123	192.5	334.0	UNK
31	33	Spectrogram 1	1	96.422451614	96.58420199	209.4	617.0	UNK
