	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
33	35	Spectrogram 1	1	149.205022598	149.414346614	467.0	1432.7	A
34	36	Spectrogram 1	1	149.774973557	150.031871214	364.1	1519.8	A
47	49	Spectrogram 1	1	209.811254757	210.030093502	335.8	1186.6	A
49	51	Spectrogram 1	1	215.994895258	216.204219275	470.1	1018.7	A
53	55	Spectrogram 1	1	233.320282291	233.548635764	324.6	1041.0	A
54	56	Spectrogram 1	1	232.559104048	232.930178441	414.2	1186.6	A
68	70	Spectrogram 1	1	277.801265025	278.001074314	447.8	1365.7	A
116	118	Spectrogram 1	1	511.125719335	511.420675904	422.2	1411.1	A
117	119	Spectrogram 1	1	513.447312976	513.675666449	377.8	1288.9	A
125	127	Spectrogram 1	1	524.949686449	525.09240737	433.3	1133.3	A
131	133	Spectrogram 1	1	545.461574651	545.889737413	311.1	1133.3	A
140	142	Spectrogram 1	1	586.807919085	587.055302014	333.3	1277.8	A
150	152	Spectrogram 1	1	617.945893058	618.183761259	355.6	1566.7	A
157	159	Spectrogram 1	1	648.494886616	649.141888122	200.0	1811.1	A
185	187	Spectrogram 1	1	796.728940592	796.938264609	355.6	1133.3	A
189	191	Spectrogram 1	1	817.896412306	818.181854147	400.0	1000.0	A
192	194	Spectrogram 1	1	857.825994985	858.197069378	411.1	1277.8	A
213	216	Spectrogram 1	1	968.585258702	968.842156359	411.1	1122.2	A
220	223	Spectrogram 1	1	1014.822173347	1015.221791924	0.0	1266.7	A
221	224	Spectrogram 1	1	1020.263665061	1020.587165814	33.3	1066.7	A
258	262	Spectrogram 1	1	1140.812658619	1141.079071004	411.1	1200.0	A
262	266	Spectrogram 1	1	1147.443491338	1148.147581212	211.1	2244.4	A
269	273	Spectrogram 1	1	1194.61284933	1194.898291171	422.2	1266.7	A
270	274	Spectrogram 1	1	1197.859165358	1198.078004103	377.8	1244.4	A
272	276	Spectrogram 1	1	1195.899131383	1196.098940672	411.1	1044.4	A
