	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
53	55	Spectrogram 1	1	142.345380233	143.487147598	220.8	911.3	B
88	90	Spectrogram 1	1	280.084689185	280.874411612	40.0	448.3	B
92	94	Spectrogram 1	1	282.615606843	283.567079646	392.2	816.5	B
95	97	Spectrogram 1	1	294.298760149	295.345380233	0.0	840.5	B
107	109	Spectrogram 1	1	329.252140065	330.298760149	472.3	1000.6	B
130	132	Spectrogram 1	1	412.664117606	414.186474092	88.1	744.5	B
135	137	Spectrogram 1	1	429.474776602	430.055175012	0.0	472.3	B
136	138	Spectrogram 1	1	434.831568486	435.78304129	504.3	1032.6	B
138	140	Spectrogram 1	1	437.323494509	438.151275848	488.3	920.6	B
140	142	Spectrogram 1	1	438.864880451	439.787809071	504.3	944.6	B
143	146	Spectrogram 1	1	445.238815513	445.952420116	504.3	1048.7	B
145	148	Spectrogram 1	1	450.091326812	451.0713438	488.3	952.6	B
153	156	Spectrogram 1	1	472.514742626	473.780201455	104.1	848.5	B
154	157	Spectrogram 1	1	474.826821539	477.015208987	392.2	896.6	B
163	166	Spectrogram 1	1	493.835382711	494.444325305	448.3	960.6	B
188	191	Spectrogram 1	1	577.386293728	578.356795988	344.2	888.6	B
190	193	Spectrogram 1	1	583.922911889	584.64603122	424.3	848.5	B
191	194	Spectrogram 1	1	589.925772558	590.487141512	0.0	504.3	B
193	196	Spectrogram 1	1	597.534735252	598.286398767	31.5	504.7	B
200	203	Spectrogram 1	1	613.213141611	614.212188055	394.3	867.5	B
216	219	Spectrogram 1	1	680.808755253	682.71170086	433.7	1040.9	B
219	222	Spectrogram 1	1	689.304474667	690.274976927	504.7	1017.3	B
232	235	Spectrogram 1	1	731.583262448	732.629882533	260.2	812.3	B
266	269	Spectrogram 1	1	797.970514649	798.636545611	31.5	323.3	B
269	272	Spectrogram 1	1	803.308277077	804.297808793	315.4	906.9	B
271	274	Spectrogram 1	1	806.751675904	808.549959503	331.2	954.2	B
273	276	Spectrogram 1	1	812.431968542	813.45955917	370.6	820.1	B
280	284	Spectrogram 1	1	825.294015402	826.588018415	378.5	828.0	B
297	301	Spectrogram 1	1	852.779266532	853.730739336	481.0	804.4	B
298	302	Spectrogram 1	1	859.790688372	860.685072808	591.4	1009.4	B
302	306	Spectrogram 1	1	871.483356407	872.568035403	362.8	772.8	B
305	309	Spectrogram 1	1	873.862038416	875.041864692	323.3	812.3	B
306	310	Spectrogram 1	1	876.943877577	877.838262012	307.6	812.3	B
331	335	Spectrogram 1	1	947.517601094	948.583250634	378.5	1001.5	B
382	386	Spectrogram 1	1	1094.218851134	1094.846823184	260.2	741.3	B
