	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
4	5	Spectrogram 1	1	11.197902176	11.283534729	176.1	440.3	C
9	10	Spectrogram 1	1	30.025683516	30.19694862	328.2	936.6	C
11	12	Spectrogram 1	1	39.834435399	39.967641591	32.0	1320.8	C
15	16	Spectrogram 1	1	54.856325523	54.97050226	48.0	536.3	C
31	33	Spectrogram 1	1	96.422451614	96.58420199	209.4	617.0	C
32	34	Spectrogram 1	1	97.45955697	97.621307346	84.9	435.8	C
40	42	Spectrogram 1	1	110.94957588	111.196958809	50.9	713.2	C
41	43	Spectrogram 1	1	109.094203913	109.274983746	90.6	334.0	C
44	46	Spectrogram 1	1	125.533788515	125.657479979	62.3	390.6	C
49	51	Spectrogram 1	1	138.977166508	139.148431613	62.3	367.9	C
58	60	Spectrogram 1	1	155.426265838	155.568986759	40.0	728.5	C
60	62	Spectrogram 1	1	156.463371194	156.577547931	24.0	448.3	C
70	72	Spectrogram 1	1	181.49382249	181.712661235	16.0	936.6	C
73	75	Spectrogram 1	1	203.965744668	204.108465588	0.0	704.4	C
76	78	Spectrogram 1	1	240.612746174	240.764981823	0.0	424.3	C
83	85	Spectrogram 1	1	268.469071698	268.64985153	0.0	816.5	C
86	88	Spectrogram 1	1	279.000010189	279.142731109	0.0	368.2	C
89	91	Spectrogram 1	1	281.435780566	281.568986759	0.0	384.2	C
91	93	Spectrogram 1	1	284.813509019	284.984774124	0.0	472.3	C
94	96	Spectrogram 1	1	293.756420651	293.861082659	24.0	408.3	C
105	107	Spectrogram 1	1	325.845867428	326.074220901	344.2	872.5	C
106	108	Spectrogram 1	1	326.378692198	326.51189839	248.2	872.5	C
113	115	Spectrogram 1	1	337.352992249	337.552801538	0.0	480.3	C
114	116	Spectrogram 1	1	345.772593839	345.91531476	216.1	464.3	C
117	119	Spectrogram 1	1	364.952420116	365.133199948	72.0	424.3	C
121	123	Spectrogram 1	1	380.745935934	380.822053758	112.1	448.3	C
142	145	Spectrogram 1	1	443.203596436	443.365346813	112.1	328.2	C
166	169	Spectrogram 1	1	508.372021706	508.49571317	112.1	416.3	C
167	170	Spectrogram 1	1	512.434810577	512.606075682	40.0	784.5	C
170	173	Spectrogram 1	1	509.932437104	510.037099112	104.1	616.4	C
171	174	Spectrogram 1	1	510.769733171	510.902939363	192.1	824.5	C
176	179	Spectrogram 1	1	518.066596852	518.199803045	312.2	888.6	C
180	183	Spectrogram 1	1	535.154136517	535.372975262	48.0	504.3	C
198	201	Spectrogram 1	1	607.039015838	607.172222031	118.3	433.7	C
204	207	Spectrogram 1	1	617.856328893	617.980020358	31.5	402.2	C
207	210	Spectrogram 1	1	632.602291905	632.754527553	134.1	449.5	C
208	211	Spectrogram 1	1	646.074214082	646.22644973	23.7	481.0	C
209	212	Spectrogram 1	1	645.741198601	645.883919521	55.2	433.7	C
221	224	Spectrogram 1	1	700.911510149	701.05423107	228.7	1206.6	C
229	232	Spectrogram 1	1	728.853468225	728.967644961	118.3	528.4	C
230	233	Spectrogram 1	1	727.854421781	728.035201614	126.2	757.1	C
233	236	Spectrogram 1	1	739.023779773	739.156985966	307.6	851.7	C
235	238	Spectrogram 1	1	739.812569477	739.94577567	347.0	828.0	C
236	239	Spectrogram 1	1	742.181736759	742.333972407	181.4	875.3	C
243	246	Spectrogram 1	1	755.33968193	755.558520675	157.7	615.1	C
245	248	Spectrogram 1	1	760.65748218	760.790688372	39.4	607.2	C
246	249	Spectrogram 1	1	761.827793728	762.075176657	212.9	867.5	C
248	251	Spectrogram 1	1	768.002852224	768.107514232	39.4	370.6	C
249	252	Spectrogram 1	1	768.402470802	768.497618082	63.1	496.8	C
250	253	Spectrogram 1	1	768.088484776	768.202661513	615.1	938.4	C
253	256	Spectrogram 1	1	772.511900591	772.692680423	268.1	788.6	C
267	270	Spectrogram 1	1	802.004759336	802.214083353	481.0	930.5	C
268	271	Spectrogram 1	1	802.670790299	802.794481763	394.3	962.1	C
270	273	Spectrogram 1	1	800.120843185	800.311137746	0.0	733.4	C
274	278	Spectrogram 1	1	806.095159669	806.256910046	654.5	1017.3	C
275	279	Spectrogram 1	1	805.486217075	805.724085276	315.4	764.9	C
277	281	Spectrogram 1	1	815.894396824	816.056147201	402.2	701.8	C
278	282	Spectrogram 1	1	818.120843185	818.273078834	354.9	757.1	C
279	283	Spectrogram 1	1	824.000012389	824.133218582	425.8	741.3	C
281	285	Spectrogram 1	1	827.463373394	827.663182683	433.7	891.1	C
283	287	Spectrogram 1	1	829.233112809	829.394863186	386.4	859.6	C
284	288	Spectrogram 1	1	831.649853731	831.811604107	347.0	843.8	C
286	290	Spectrogram 1	1	832.238834146	832.343496154	410.1	812.3	C
292	296	Spectrogram 1	1	838.442436826	838.575643019	394.3	670.3	C
307	311	Spectrogram 1	1	880.264517662	880.397723854	433.7	891.1	C
308	312	Spectrogram 1	1	880.825886616	880.997151721	331.2	914.8	C
309	313	Spectrogram 1	1	886.162716322	886.257863602	110.4	441.6	C
319	323	Spectrogram 1	1	911.336821261	911.450997998	512.6	843.8	C
321	325	Spectrogram 1	1	923.342542598	923.437689879	268.1	481.0	C
323	327	Spectrogram 1	1	925.940063352	926.006666449	323.3	954.2	C
324	328	Spectrogram 1	1	926.843962516	926.92008034	15.8	496.8	C
326	330	Spectrogram 1	1	933.094206113	933.25595649	78.9	591.4	C
327	331	Spectrogram 1	1	937.366319002	937.537584106	55.2	457.4	C
332	336	Spectrogram 1	1	946.613701931	946.737393395	465.3	1025.2	C
334	338	Spectrogram 1	1	955.613701931	955.765937579	23.7	544.1	C
335	339	Spectrogram 1	1	959.627984439	959.780220088	47.3	457.4	C
340	344	Spectrogram 1	1	969.436736323	969.579457243	347.0	701.8	C
343	347	Spectrogram 1	1	972.719317495	972.833494232	276.0	828.0	C
345	349	Spectrogram 1	1	974.194100341	974.34633599	339.1	914.8	C
346	350	Spectrogram 1	1	973.9086585	974.079923605	205.0	741.3	C
347	351	Spectrogram 1	1	969.969561093	970.055193645	252.4	701.8	C
352	356	Spectrogram 1	1	979.892489712	980.101813729	0.0	607.2	C
364	368	Spectrogram 1	1	1029.877274481	1030.039024857	291.8	828.0	C
372	376	Spectrogram 1	1	1050.265471218	1050.408192138	47.3	465.3	C
378	382	Spectrogram 1	1	1070.901050884	1071.015227621	0.0	812.3	C
379	383	Spectrogram 1	1	1073.317791805	1073.44148327	118.3	520.5	C
380	384	Spectrogram 1	1	1073.831587119	1074.02188168	149.8	418.0	C
392	396	Spectrogram 1	1	1119.649853731	1119.764030467	7.9	559.9	C
400	404	Spectrogram 1	1	1144.014274064	1144.223598081	86.7	638.8	C
401	405	Spectrogram 1	1	1148.028556573	1148.23788059	0.0	906.9	C
413	417	Spectrogram 1	1	1175.171277494	1175.342542598	252.4	985.7	C
415	419	Spectrogram 1	1	1182.783059923	1182.99238394	323.3	780.7	C
417	421	Spectrogram 1	1	1184.884882096	1185.065661929	244.5	733.4	C
