	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
4	9	Spectrogram 1	1	62.799236864	63.562782071	0.0	966.4	D
48	56	Spectrogram 1	1	272.21711562	273.348003316	348.5	1151.6	D
54	62	Spectrogram 1	1	277.457961147	278.756387762	197.0	1000.1	D
55	63	Spectrogram 1	1	307.965807243	309.756379428	333.4	1545.5	D
73	83	Spectrogram 1	1	375.243308704	376.206657483	240.566	962.264	D
78	89	Spectrogram 1	1	398.688348778	399.861121204	212.264	750.0	D
91	102	Spectrogram 1	1	465.552216907	467.018182439	80.05	1020.635	D
92	103	Spectrogram 1	1	468.997235908	469.573150938	40.025	940.585	D
94	105	Spectrogram 1	1	469.991998233	471.363723124	20.012	740.461	D
181	193	Spectrogram 1	1	932.26949038	932.761635951	189.076	1046.218	D
230	242	Spectrogram 1	1	1175.101951462	1177.154303207	151.261	1121.849	D
