	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
7	14	Spectrogram 1	1	75.782867539	76.64497869	74.7	313.7	F
23	31	Spectrogram 1	1	137.465799383	138.088834734	0.0	467.1	F
28	36	Spectrogram 1	1	162.060591819	164.626031501	0.0	350.3	F
88	99	Spectrogram 1	1	437.070525851	439.913470615	0.0	367.925	F
97	108	Spectrogram 1	1	476.133365445	479.232835428	0.0	220.137	F
98	109	Spectrogram 1	1	481.107177072	481.515553185	0.0	480.299	F
99	110	Spectrogram 1	1	483.279966165	492.086230541	14.151	283.019	F
125	136	Spectrogram 1	1	628.416082766	631.892515314	0.0	226.891	F
131	143	Spectrogram 1	1	650.457959162	655.719747055	0.0	252.101	F
157	169	Spectrogram 1	1	781.761631784	782.243306174	12.605	327.731	F
158	170	Spectrogram 1	1	788.023398844	793.714505214	12.605	239.496	F
176	188	Spectrogram 1	1	899.641211104	903.327067299	12.605	226.891	F
185	197	Spectrogram 1	1	961.049591383	963.227597317	0.0	277.311	F
217	229	Spectrogram 1	1	1088.93440421	1092.138586017	25.21	264.706	F
236	248	Spectrogram 1	1	1187.442258639	1189.578379843	0.0	277.311	F
