	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
0	1	Spectrogram 1	1	6.226471264	6.403807471	15.5	247.4	G
1	2	Spectrogram 1	1	7.546640805	7.763385057	0.0	612.9	G
2	3	Spectrogram 1	1	10.211797414	10.379281609	0.0	354.8	G
3	4	Spectrogram 1	1	11.571375	11.847231322	0.0	387.1	G
10	11	Spectrogram 1	1	66.664948276	66.82258046	0.0	241.9	G
11	12	Spectrogram 1	1	90.551712644	90.758604885	0.0	387.1	G
14	15	Spectrogram 1	1	103.049176724	103.196956897	0.0	387.1	G
15	16	Spectrogram 1	1	105.305287356	105.522031609	0.0	354.8	G
16	17	Spectrogram 1	1	118.753658046	118.91129023	0.0	258.1	G
19	20	Spectrogram 1	1	140.004821839	140.21171408	0.0	467.7	G
31	32	Spectrogram 1	1	219.536851222	219.654126265	0.0	333.3	G
32	33	Spectrogram 1	1	219.888676353	220.089719284	0.0	474.4	G
35	36	Spectrogram 1	1	253.35555733	253.615237784	0.0	487.2	G
37	38	Spectrogram 1	1	260.244606545	260.428895899	0.0	320.5	G
39	40	Spectrogram 1	1	270.559762391	270.702167801	0.0	282.1	G
40	41	Spectrogram 1	1	270.718921379	271.229905497	0.0	282.1	G
41	42	Spectrogram 1	1	274.860383857	275.002789267	38.5	282.1	G
44	45	Spectrogram 1	1	285.301191536	285.518988045	0.0	294.9	G
46	47	Spectrogram 1	1	289.389064485	289.548223473	0.0	320.5	G
48	49	Spectrogram 1	1	303.636263089	303.778668499	0.0	346.2	G
50	51	Spectrogram 1	1	320.781830628	320.91585925	0.0	179.5	G
56	57	Spectrogram 1	1	345.913806719	346.081342496	0.0	282.1	G
57	58	Spectrogram 1	1	358.214261518	358.390174084	0.0	307.7	G
61	62	Spectrogram 1	1	379.389064485	379.606860995	0.0	282.1	G
63	64	Spectrogram 1	1	394.507449127	394.725245637	51.3	333.3	G
64	65	Spectrogram 1	1	399.913806719	400.131603229	38.5	307.7	G
65	66	Spectrogram 1	1	400.391283682	400.650964136	0.0	320.5	G
66	67	Spectrogram 1	1	401.55565733	401.773453839	0.0	346.2	G
67	68	Spectrogram 1	1	405.115792583	405.291705148	0.0	269.2	G
69	70	Spectrogram 1	1	413.99014075	414.132546161	0.0	448.7	G
72	73	Spectrogram 1	1	444.737894154	444.938937086	0.0	410.3	G
73	74	Spectrogram 1	1	447.77029171	447.929450698	25.6	359.0	G
74	75	Spectrogram 1	1	449.428895899	449.56292452	38.5	256.4	G
75	76	Spectrogram 1	1	451.053992932	451.255035864	51.3	230.8	G
76	77	Spectrogram 1	1	460.204781566	460.338810188	0.0	333.3	G
77	78	Spectrogram 1	1	497.452923102	497.670719612	25.6	397.4	G
78	79	Spectrogram 1	1	506.092721182	506.293764114	12.8	192.3	G
82	83	Spectrogram 1	1	543.128214027	543.379517692	0.0	359.0	G
84	85	Spectrogram 1	1	545.892554341	546.060090118	0.0	307.7	G
87	88	Spectrogram 1	1	572.356439856	572.632873887	0.0	230.8	G
88	89	Spectrogram 1	1	574.199333399	574.350115598	0.0	256.4	G
90	93	Spectrogram 1	1	607.167883442	607.310288853	31.7	411.6	G
91	94	Spectrogram 1	1	608.952139463	609.11967524	23.7	332.4	G
94	97	Spectrogram 1	1	643.251651331	643.427563896	0.0	221.6	G
97	100	Spectrogram 1	1	674.892392343	675.05992812	0.0	237.5	G
98	101	Spectrogram 1	1	675.26934784	675.428506828	0.0	459.1	G
99	102	Spectrogram 1	1	671.843241209	672.069414507	31.7	197.9	G
101	104	Spectrogram 1	1	689.742719743	689.952139463	15.8	300.8	G
103	106	Spectrogram 1	1	697.595099673	697.82964976	23.7	205.8	G
106	109	Spectrogram 1	1	718.593990074	718.786656217	39.6	316.6	G
109	112	Spectrogram 1	1	759.330204559	759.497740336	15.8	292.9	G
110	113	Spectrogram 1	1	764.582451156	764.741610144	15.8	316.6	G
112	115	Spectrogram 1	1	790.962568783	791.163611715	0.0	300.8	G
114	117	Spectrogram 1	1	801.91436058	802.073519568	7.9	269.1	G
115	118	Spectrogram 1	1	805.477824629	805.653737195	0.0	285.0	G
116	119	Spectrogram 1	1	843.379355694	843.505007526	15.8	340.4	G
117	120	Spectrogram 1	1	845.574074367	845.716479777	0.0	269.1	G
123	126	Spectrogram 1	1	869.566807177	869.717589376	7.9	332.4	G
129	132	Spectrogram 1	1	927.043174542	927.160449586	0.0	229.5	G
130	133	Spectrogram 1	1	933.362602116	933.538514682	47.5	261.2	G
134	137	Spectrogram 1	1	958.821272971	959.005562325	0.0	300.8	G
136	139	Spectrogram 1	1	985.40243353	985.586722884	0.0	269.1	G
137	140	Spectrogram 1	1	993.732290423	993.983594088	7.9	221.6	G
138	141	Spectrogram 1	1	994.553215729	994.737505083	15.8	285.0	G
139	142	Spectrogram 1	1	999.227463896	999.369869306	87.1	348.3	G
140	143	Spectrogram 1	1	1008.043174542	1008.260971051	0.0	482.8	G
142	145	Spectrogram 1	1	1013.75947332	1014.186689551	0.0	308.7	G
143	146	Spectrogram 1	1	1034.607581523	1034.817001243	0.0	261.2	G
149	152	Spectrogram 1	1	1085.818110842	1086.04428414	7.9	364.1	G
151	154	Spectrogram 1	1	1124.909145921	1125.110188853	0.0	411.6	G
153	156	Spectrogram 1	1	1149.865209446	1150.0494988	31.7	205.8	G
155	158	Spectrogram 1	1	1154.861104385	1155.053770528	0.0	530.3	G
156	159	Spectrogram 1	1	1185.312341383	1185.421239638	15.8	253.3	G
