	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
183	185	Spectrogram 1	1	0.508793617	1.187185105	35.857	577.689	M
184	186	Spectrogram 1	1	1.639446098	2.430902834	35.857	521.912	M
185	187	Spectrogram 1	1	3.203515363	4.239946804	31.873	390.438	M
186	188	Spectrogram 1	1	4.597986757	5.257534037	31.873	442.231	M
187	189	Spectrogram 1	1	6.048990774	7.160799047	47.809	410.359	M
188	190	Spectrogram 1	1	7.255020087	8.687179897	55.777	398.406	M
189	191	Spectrogram 1	1	8.894466185	9.70476713	71.713	382.47	M
190	192	Spectrogram 1	1	12.060293132	13.247478238	75.697	398.406	M
191	193	Spectrogram 1	1	13.41707611	14.359286511	35.857	406.375	M
192	194	Spectrogram 1	1	14.453507551	15.961044192	59.761	378.486	M
193	195	Spectrogram 1	1	16.262551521	17.298982962	47.809	394.422	M
194	196	Spectrogram 1	1	17.939686034	18.787675395	63.745	398.406	M
195	197	Spectrogram 1	1	18.900740643	20.219835205	67.729	382.47	M
196	198	Spectrogram 1	1	20.427121493	21.520085558	75.697	398.406	M
197	199	Spectrogram 1	1	21.727371846	22.537672791	87.649	394.422	M
198	200	Spectrogram 1	1	22.914556951	23.969832601	71.713	406.375	M
199	201	Spectrogram 1	1	25.02510825	26.193449147	75.697	382.47	M
200	202	Spectrogram 1	1	26.287670187	27.0225943	71.713	382.47	M
201	203	Spectrogram 1	1	27.060282716	27.606764748	71.713	382.47	M
202	204	Spectrogram 1	1	28.021337325	29.133145598	31.873	394.422	M
