	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
0	1	Spectrogram 1	1	592.174296728	592.358586082	158.3	791.5	POS
1	2	Spectrogram 1	1	593.028729188	593.187888176	126.6	759.9	POS
2	3	Spectrogram 1	1	593.749133028	593.941799171	126.6	775.7	POS
3	4	Spectrogram 1	1	594.486290445	596.035996379	174.1	1393.1	POS
4	5	Spectrogram 1	1	596.505096553	596.664255541	158.3	728.2	POS
5	6	Spectrogram 1	1	597.38465938	597.568948735	126.6	696.6	POS
6	7	Spectrogram 1	1	598.172077531	598.314482941	285.0	839.0	POS
7	8	Spectrogram 1	1	604.055912086	604.617156937	197.9	712.4	POS
8	9	Spectrogram 1	1	605.647501963	605.806660951	174.1	680.7	POS
9	10	Spectrogram 1	1	606.535441579	608.17729219	102.9	799.5	POS
10	12	Spectrogram 1	1	615.920773866	616.121816798	182.1	926.1	POS
11	13	Spectrogram 1	1	613.968982068	614.681009119	245.4	949.8	POS
12	14	Spectrogram 1	1	612.402522557	612.645449433	134.6	1124.0	POS
13	15	Spectrogram 1	1	613.072665663	613.24020144	150.4	1424.8	POS
14	16	Spectrogram 1	1	609.680066187	610.031891318	79.2	1044.8	POS
15	17	Spectrogram 1	1	610.149166361	611.858031283	118.7	1036.9	POS
16	18	Spectrogram 1	1	1.223011169	1.725618499	39.6	554.1	POS
17	19	Spectrogram 1	1	5.537057417	6.860590052	269.1	728.2	POS
18	20	Spectrogram 1	1	4.044352201	4.438061276	1595.3	2093.9	POS
19	21	Spectrogram 1	1	10.172750436	12.660656719	182.1	997.3	POS
20	22	Spectrogram 1	1	13.272162304	13.51508918	221.6	949.8	POS
21	23	Spectrogram 1	1	14.319260908	14.922389703	237.5	870.7	POS
22	24	Spectrogram 1	1	8.920465985	9.181090489	245.4	815.3	POS
23	25	Spectrogram 1	1	15.566335305	15.81391844	246.3	996.3	POS
24	26	Spectrogram 1	1	18.731093633	18.892560895	167.9	738.8	POS
25	27	Spectrogram 1	1	19.377853966	19.550085711	156.7	750.0	POS
26	28	Spectrogram 1	1	20.239012694	20.443537892	167.9	850.7	POS
